"species","PA_trophic","Stage","Working.Group","Consumer.Strategy","consumer_mobility","classcode","trophic_level"
"Cryptolithodes sitchensis",2.797749294,"Adult","small crab","Herbivore","micropredator_mobile","CRYSIT","primary_consumer"
"Cucumaria",2.822916667,"Adult","cucumber","Filter","predator_sessile","CUCSPP","primary_consumer"
"Cucumaria miniata",2.822916667,"Adult","cucumber","Filter","predator_sessile","CUCMIN","primary_consumer"
"Cucumaria piperata",2.822916667,"Adult","cucumber","Filter","predator_sessile","CUCPIP","primary_consumer"
"Cucumaria salma",2.82291666666667,"Adult","cucumber","Filter","predator_sessile","CUCSAL","primary_consumer"
"Cup Coral",3.988498227,"Adult","anemone","Predator","predator_sessile","CUPCOR","secondary_consumer"
"Cymatogaster aggregata",4.1004027402112,"Adult","Fish","Predator","predator_mobile","CAGG","secondary_consumer"
"Dermasterias imbricata",4.38105600104253,"Adult","sea star","Predator","predator_mobile","DERIMB","secondary_consumer"
"Desmarestia",1,"Adult","brown algae","Autotroph","autotroph_sessile","DESSPP","producer"
"Diaperoforma californica",2.890625,"Adult","erect bryozoan","Filter","predator_sessile","DIACAL","primary_consumer"
"Diatom Layer",1,"Adult","brown algae","Autotroph","autotroph_sessile","SCUM","producer"
"Dictyoneurum californicum/reticulatum",1,"Adult","brown algae","Autotroph","autotroph_sessile","DICSPP","producer"
"Dictyotales",1,"Adult","brown algae","Autotroph","autotroph_sessile","DICTYOTALES","producer"
"Diopatra/Chaetopterus spp",3.925840503,"Adult","Polychaeta- Errantia","Predator","predator_mobile","DIOCHA","secondary_consumer"
"Dodecaceria fewkesi",2.41666666666667,"Adult","Polychaete-Sedentaria","Filter","predator_sessile","DODFEW","primary_consumer"
"Egregia menziesii",1,"Adult","kelps","Autotroph","autotroph_sessile","EGRMEN","producer"
"Eisenia arborea",1,"Adult","brown algae","Autotroph","autotroph_sessile","EISARBAD","producer"
"Embiotoca jacksoni",3.97058090563276,"Adult","Fish","Predator","predator_mobile","EJAC","secondary_consumer"
"Embiotoca lateralis",3.80209352590232,"Adult","Fish","Predator","predator_mobile","ELAT","secondary_consumer"
"Embiotocidae",3.970580906,"Adult","Fish","Predator","predator_mobile","EMBI","secondary_consumer"
"Engraulis mordax",4.055629686,"Adult","Fish","Omnivore","predator_mobile","EMOR","secondary_consumer"
"Eugorgia rubens",4.622709234,"Adult","gorgonian","Predator","predator_sessile","EUGRUB","tertiary_consumer"
"Eupentacta quinquesemita",2.82291666666667,"Adult","cucumber","Filter","predator_sessile","EUPQUI","primary_consumer"
"Galeorhinus galeus",6.818877272,"Adult","shark","Predator","predator_mobile","GGAL","quarternary_consumer"
"Gibbonsia",4.052175189,"Adult","Fish","Herbivore","predator_mobile","GIBB","secondary_consumer"
"Gibbonsia elegans",4.05217518932592,"Adult","Fish","Herbivore","predator_mobile","GELE","secondary_consumer"
"Girella nigricans",3.01500971454805,"Adult","Fish","Omnivore","micropredator_mobile","GNIG","primary_consumer"
"Gorgonian Adult",4.622709234,"Adult","gorgonian","Predator","predator_sessile","GORGAD","tertiary_consumer"
"Gorgonian Recruit",4.622709234,"Adult","gorgonian","Predator","predator_sessile","GORGREC","tertiary_consumer"
"Gymnothorax mordax",6.33014117282842,"Adult","Fish","Predator","predator_mobile","GMOR","quarternary_consumer"
"Haemulon californiensis",4.055629686,"Adult","Fish","Omnivore","predator_mobile","HCAL","secondary_consumer"
"Halichoeres semicinctus",3.85861773161897,"Adult","Fish","Predator","predator_mobile","HSEM","secondary_consumer"
"Haliotis",2,"adult","abalone","Herbivore","micropredator_mobile","HALSPP","primary_consumer"
"Haliotis corrugata",2,"adult","abalone","Herbivore","micropredator_mobile","HALCOR","primary_consumer"
"Haliotis cracherodii",2,"adult","abalone","Herbivore","micropredator_mobile","HALCRA","primary_consumer"
"Haliotis fulgens",2,"adult","abalone","Herbivore","micropredator_mobile","HALFUL","primary_consumer"
"Haliotis kamtschatkana",2,"adult","abalone","Herbivore","micropredator_mobile","HALKAM","primary_consumer"
"Haliotis rufescens",2,"adult","abalone","Herbivore","micropredator_mobile","HALRUF","primary_consumer"
"Haliotis sorenseni",2,"adult","abalone","Herbivore","micropredator_mobile","HALSOR","primary_consumer"
"Haliotis walallensis",2,"adult","abalone","Herbivore","micropredator_mobile","HALWAL","primary_consumer"
"Henricia leviuscula",3.01019345238095,"adult","sea star","omnivore","predator_mobile","HENLEV","primary_consumer"
"Hermosilla azurea",3.970580906,"Adult","Fish","Predator","predator_mobile","HAZU","secondary_consumer"
"Heterodontus francisci",5.35146624888023,"Adult","shark","Predator","predator_mobile","HFRA","tertiary_consumer"
"Heteropora pacifica",3.5,"Adult","erect bryozoan","Filter","predator_sessile","HETPAC","secondary_consumer"
"Heterostichus rostratus",4.58503103097657,"Adult","Fish","Predator","predator_mobile","HROS","tertiary_consumer"
"Hexagrammos decagrammus",4.85635898834339,"Adult","Fish","Predator","predator_mobile","HDEC","tertiary_consumer"
"Hexagrammos lagocephalus",4.856358988,"Adult","Fish","Predator","predator_mobile","HLAG","tertiary_consumer"
"Hexanchus griseus",6.818877272,"Adult","shark","Predator","predator_mobile","HGRI","quarternary_consumer"
"Hydroid",3.905623064,"Adult","hydroids","Omnivore","predator_sessile","HYDROID","secondary_consumer"
"Hyperprosopon anale",3.993812709,"Adult","Fish","Predator","predator_mobile","HANA","secondary_consumer"
"Hyperprosopon argenteum",4.08392913617163,"Adult","Fish","Predator","predator_mobile","HARG","secondary_consumer"
"Hyperprosopon ellipticum",3.993812709,"Adult","Fish","Predator","predator_mobile","HELL","secondary_consumer"
"Hypsurus caryi",3.80166408012172,"Adult","Fish","Predator","predator_mobile","HCAR","secondary_consumer"
"Hypsypops rubicundus",3.96578677451314,"Adult","Fish","Omnivore","predator_mobile","HRUB","secondary_consumer"
"Jordania zonope",4.487678033,"Adult","Fish","Predator","predator_mobile","JZON","tertiary_consumer"
"Kelletia kelletii",3.41147961439209,"Adult","whelks and cone snails","Predator","predator_mobile","KELKEL","secondary_consumer"
"Kelp Juvenile, Unidentified",1,"Adult","brown algae","Autotroph","autotroph_sessile","KELPJUV","producer"
"Laminaria",1,"Adult","brown algae","Autotroph","autotroph_sessile","LAMSPJUV","producer"
"Laminaria farlowii",1,"Adult","kelps","Autotroph","autotroph_sessile","LAMFAR","producer"
"Laminaria setchellii",1,"Adult","brown algae","Autotroph","autotroph_sessile","LAMSETAD","producer"
"Laminariales Holdfast (Alive)",1,"Adult","brown algae","Autotroph","autotroph_sessile","LAMHOLD","producer"
"Leiocottus hirundo",4.4876780325857,"Adult","Fish","Predator","predator_mobile","LHIR","tertiary_consumer"
"Lepidogobius lepidus",3.961137705,"Adult","Fish","Predator","predator_mobile","LLEP","secondary_consumer"
"Leptogorgia chilensis",4.62270923362944,"Adult","gorgonian","Omnivore","predator_sessile","LEPCHI","tertiary_consumer"
"Lethops connectens",3.961137705,"Adult","Fish","Predator","predator_mobile","LCON","secondary_consumer"
"Linckia columbiae",2.3125,"adult","sea star","Omnivore","predator_mobile","LINCOL","primary_consumer"
"Loxorhynchus crispatus/Scyra acutifrons",4.189955993,"Adult","large crab","Predator","predator_mobile","LOXSCY","secondary_consumer"
"Loxorhynchus grandis",4.54001024819588,"Adult","large crab","Scavenger","predator_mobile","LOXGRA","tertiary_consumer"
"Lytechinus pictus",2.699742007,"Adult","urchin","Herbivore","micropredator_mobile","LYTPIC","primary_consumer"
"Lythrypnus dalli",3.961137704752,"Adult","Fish","Predator","predator_mobile","LDAL","secondary_consumer"
"Lythrypnus zebra",3.961137705,"Adult","Fish","Predator","predator_mobile","LZEB","secondary_consumer"
"Macrocystis pyrifera",1,"Adult","kelps","Autotroph","autotroph_sessile","MACPYRAD","producer"
"Macrocystis pyrifera",1,"Adult","kelps","Autotroph","autotroph_sessile","MACPYRJUV","producer"
"Medialuna californiensis",3.48370505428592,"Adult","Fish","Herbivore","micropredator_mobile","MCAL","secondary_consumer"
"Mediaster aequalis",2.929404959,"Adult","sea star","Omnivore","predator_mobile","MEDAEQ","primary_consumer"
"Megastraea undosa",2.59639118461514,"Adult","grazing snails and slugs","Herbivore","micropredator_mobile","MEGUND","primary_consumer"
"Megathura crenulata",3.526405969553,"Adult","grazing snails and slugs","Herbivore","micropredator_mobile","MEGCRE","secondary_consumer"
"Mesocentrotus franciscanus",2.2907522911724,"Adult","urchin","Herbivore","micropredator_mobile","MESFRAAD","primary_consumer"
"Metridium",3.959927909,"Adult","anemone","Predator","predator_sessile","METSPP","secondary_consumer"
"Micrometrus minimus",3.970580906,"Adult","Fish","Predator","predator_mobile","MMIN","secondary_consumer"
"Mola mola",4.22364048,"Adult","Fish","Predator","predator_mobile","MMOL","secondary_consumer"
"Mugil cephalus",5.6074794,"Adult","Fish","Predator","predator_mobile","MCEP","tertiary_consumer"
"Muricea californica",4.62270923362944,"Adult","gorgonian","Predator","predator_sessile","MURCAL","tertiary_consumer"
"Muricea fruticosa",4.622709234,"Adult","gorgonian","Predator","predator_sessile","MURFRU","tertiary_consumer"
"Myliobatis californica",5.12515441280632,"Adult","ray","Predator","predator_mobile","BRAY","tertiary_consumer"
"Mytilus spp",2.979166667,"Adult","clams and mussels","Filter","predator_sessile","MUSSEL","primary_consumer"
"Neoagarum fimbriatum",1,"Adult","brown algae","Autotroph","autotroph_sessile","NEOFIM","producer"
"Neobernaya spadicea",3.587874839,"Adult","whelks and cone snails","Predator","micropredator_mobile","NEOSPA","secondary_consumer"
"Neoclinus blanchardi",3.759778702,"Adult","Fish","Predator","predator_mobile","NBLA","secondary_consumer"
"Neoclinus stephensae",3.75977870192699,"Adult","Fish","Predator","predator_mobile","NSTE","secondary_consumer"
"Neoclinus uninotatus",3.759778702,"Adult","Fish","Predator","predator_mobile","NUNI","secondary_consumer"
"Nereocystis luetkeana",1,"Adult","brown algae","Autotroph","autotroph_sessile","NERLUE","producer"
"Notorynchus cepedianus",6.81887727156703,"Adult","shark","Predator","predator_mobile","NCEP","quarternary_consumer"
"Octopus",4.397262616,"Adult","Octopus","Predator","predator_mobile","OCTOPUS","secondary_consumer"
"Ophiodon elongatus",6.24882183993805,"Adult","Fish","Predator","predator_mobile","OELO","quarternary_consumer"
"Orthasterias koehleri",4.01545680553702,"Adult","sea star","Predator","predator_mobile","ORTKOE","secondary_consumer"
"Orthonopias triacis",4.487678033,"Adult","Fish","Predator","predator_mobile","OTRI","tertiary_consumer"
"Oxyjulis californica",4.02515375199809,"Adult","Fish","Predator","predator_mobile","OCAL","secondary_consumer"
"Oxylebius pictus",4.40727129712037,"Adult","Fish","Predator","predator_mobile","OPIC","secondary_consumer"
"Pachycerianthus fimbriatus",3.95992790920421,"Adult","anemone","Predator","predator_sessile","PACFIM","secondary_consumer"
"Pachythyone rubra",2.49375,"Adult","cucumber","Filter","predator_sessile","PACRUB","primary_consumer"
"Paguridae",3.138092355,"Adult","small crab","Detritivore","micropredator_mobile","HERMSPP","primary_consumer"
"Panulirus interruptus",3.89966523471336,"Adult","lobster","Predator","predator_mobile","PANINT","secondary_consumer"
"Paralabrax clathratus",5.54941477851741,"Adult","Fish","Predator","predator_mobile","PCLA","tertiary_consumer"
"Paralabrax maculatofasciatus",5.6074794,"Adult","Fish","Predator","predator_mobile","PMAC","tertiary_consumer"
"Paralabrax nebulifer",5.60747939982217,"Adult","Fish","Predator","predator_mobile","PNEB","tertiary_consumer"
"Paralichthys californicus",5.86240343182339,"Adult","Fish","Predator","predator_mobile","PCAL","quarternary_consumer"
"Parapholas californica",2.6171875,"Adult","boring clam","Filter","predator_sessile","PARPHO","primary_consumer"
"Patiria miniata",2.92940495887929,"Adult","sea star","Omnivore","predator_mobile","PATMIN","primary_consumer"
"Patiria miniata",2.92940495887929,"Adult","sea star","Omnivore","predator_mobile","PATMINREC","primary_consumer"
"Pelagophycus porra",1,"Adult","brown algae","Autotroph","autotroph_sessile","PELPOR","producer"
"Phaeophyceae",1,"Adult","brown algae","Autotroph","autotroph_sessile","BROWN","producer"
"Phanerodon atripes",3.993812709,"Adult","Fish","Predator","predator_mobile","PATR","secondary_consumer"
"Phanerodon furcatus",3.99381270879712,"Adult","Fish","Predator","predator_mobile","PFUR","secondary_consumer"
"Pholidae",4.22364048,"Adult","Fish","Predator","predator_mobile","PHOL","secondary_consumer"
"Phragmatopoma californica",3.54166666666667,"Adult","Polychaete-Sedentaria","Filter","predator_sessile","PHRCAL","secondary_consumer"
"Phyllospadix",1,"Adult","angiosperm","Autotroph","autotroph_sessile","PHYSPP","producer"
"Pisaster",4.214542217,"Adult","sea star","Predator","predator_mobile","PISREC","secondary_consumer"
"Pisaster brevispinus",4.35144091710238,"Adult","sea star","Predator","predator_mobile","PISBRE","secondary_consumer"
"Pisaster giganteus",4.21454221652233,"Adult","sea star","Predator","predator_mobile","PISGIG","secondary_consumer"
"Pisaster ochraceus",4.67386760179962,"Adult","sea star","Predator","predator_mobile","PISOCH","tertiary_consumer"
"Platyrhinoidis triseriata",5.73976451830125,"Adult","ray","Predator","predator_mobile","PTRI","quarternary_consumer"
"Pleuronectidae",3.979224444,"Adult","Fish","Predator","predator_mobile","PLEU","secondary_consumer"
"Pleuronichthys coenosus",3.97922444429746,"Adult","Fish","Predator","predator_mobile","PCOE","secondary_consumer"
"Pomaulax gibberosus",2,"Adult","grazing snails and slugs","Herbivore","micropredator_mobile","POMGIB","primary_consumer"
"Porifera",2.416666667,"Adult","sponge","Filter","predator_sessile","SPONGE","primary_consumer"
"Prionace glauca",6.818877272,"Adult","shark","Predator","predator_mobile","PGLA","quarternary_consumer"
"Pseudobatos productus",5.351466249,"Adult","shark","Predator","predator_mobile","PPRO","tertiary_consumer"
"Pteria sterna",2,"Adult","clams and mussels","Filter","predator_sessile","PTESTE","primary_consumer"
"Pterygophora californica",1,"Adult","kelps","Autotroph","autotroph_sessile","PTECALJUV","producer"
"Pterygophora californica",1,"Adult","kelps","Autotroph","autotroph_sessile","PTECALAD","producer"
"Pugettia foliata",2.79774929442699,"Adult","small crab","Herbivore","micropredator_mobile","PUGFOL","primary_consumer"
"Pugettia producta",3.8173055349888,"Adult","large crab","Herbivore","micropredator_mobile","PUGPRO","secondary_consumer"
"Pugettia richii",2,"Adult","small crab","Herbivore","micropredator_mobile","PUGRIC","primary_consumer"
"Pugettia spp",2,"Adult","small crab","Herbivore","micropredator_mobile","PUGSPP","primary_consumer"
"Pycnopodia helianthoides",4.17949219852827,"Adult","sea star","Predator","predator_mobile","PYCHEL","secondary_consumer"
"Raja binoculata",3.979224444,"Adult","Fish","Predator","predator_mobile","RBIN","secondary_consumer"
"Raja stellulata",3.979224444,"Adult","Fish","Predator","predator_mobile","RSTE","secondary_consumer"
"Rathbunella alleni",3.858617732,"Adult","Fish","Predator","predator_mobile","RALL","secondary_consumer"
"Rathbunella hypoplecta",3.858617732,"Adult","Fish","Predator","predator_mobile","RHYP","secondary_consumer"
"Red Alga With Cylindrical Branches. Definition Used In 2000",1,"Adult","red algae","Autotroph","autotroph_sessile","BUSHY00","producer"
"Red Algae -Encrusting",1,"Adult","red algae","Autotroph","autotroph_sessile","ENCRED","producer"
"Red Algae (Branching Flat Blade)",1,"Adult","red algae","Autotroph","autotroph_sessile","BRANCH","producer"
"Red Algae (Cylindrical Branches)",1,"Adult","red algae","Autotroph","autotroph_sessile","BUSHY","producer"
"Red Algae (Lacy Branching)",1,"Adult","red algae","Autotroph","autotroph_sessile","LACY","producer"
"Red Algae (Leaf-Like)",1,"Adult","red algae","Autotroph","autotroph_sessile","LEAFY","producer"
"Red Filamentous Turf",1,"Adult","red algae","Autotroph","autotroph_sessile","TURF","producer"
"Red Fleshy Algae",1,"Adult","red algae","Autotroph","autotroph_sessile","ERECTRED","producer"
"Rhacochilus toxotes",4.07143676067577,"Adult","Fish","Predator","predator_mobile","RTOX","secondary_consumer"
"Rhacochilus vacca",4.05083302839369,"Adult","Fish","Predator","predator_mobile","RVAC","secondary_consumer"
"Rhinogobiops nicholsii",3.90493150692943,"Adult","Fish","Predator","predator_mobile","RNIC","secondary_consumer"
"Ronquilus jordani",3.858617732,"Adult","Fish","Predator","predator_mobile","RJOR","secondary_consumer"
"Salmacina tribranchiata",2.92708333333333,"Adult","Polychaete-Sedentaria","Filter","predator_sessile","SALTRI","primary_consumer"
"Sarda chiliensis chiliensis",4.055629686,"Adult","Fish","Omnivore","predator_mobile","SCHI","secondary_consumer"
"Sardinops sagax",4.055629686,"Adult","Fish","Omnivore","predator_mobile","SSAG","secondary_consumer"
"Sargassum",1,"Adult","brown algae","Autotroph","autotroph_sessile","SARSPP","producer"
"Sargassum horneri",1,"Adult","brown algae","Autotroph","autotroph_sessile","SARHOR","producer"
"Sargassum muticum",1,"Adult","brown algae","Autotroph","autotroph_sessile","SARMUT","producer"
"Scallop",2.6171875,"Adult","clams and mussels","Filter","predator_sessile","SCALLOP","primary_consumer"
"Scomber japonicus",4.055629686,"Adult","Fish","Omnivore","predator_mobile","SJAP","secondary_consumer"
"Scorpaena guttata",5.28080728191543,"Adult","Fish","Predator","predator_mobile","SGUT","tertiary_consumer"
"Scorpaenichthys marmoratus",5.5220027705975,"Adult","Fish","Predator","predator_mobile","SMAR","tertiary_consumer"
"Sebastes",5.419091758,"Adult","Fish","Predator","predator_mobile","SEBSPP","tertiary_consumer"
"Sebastes atrovirens",5.14461718516711,"Adult","Fish","Predator","predator_mobile","SATR","tertiary_consumer"
"Sebastes atrovirens/carnatus/chrysomelas/caurinus",5.971985166,"Adult","Fish","Predator","predator_mobile","KGB","quarternary_consumer"
"Sebastes auriculatus",5.41909175816693,"Adult","Fish","Predator","predator_mobile","SAUR","tertiary_consumer"
"Sebastes carnatus",4.99278027039255,"Adult","Fish","Predator","predator_mobile","SCAR","tertiary_consumer"
"Sebastes caurinus",5.69744984879689,"Adult","Fish","Predator","predator_mobile","SCAU","quarternary_consumer"
"Sebastes chrysomelas",5.97198516577905,"Adult","Fish","Predator","predator_mobile","SCHR","quarternary_consumer"
"Sebastes chrysomelas/carnatus",5.971985166,"Adult","Fish","Predator","predator_mobile","GBY","quarternary_consumer"
"Sebastes dallii",4.99278027,"Adult","Fish","Predator","predator_mobile","SDAL","tertiary_consumer"
"Sebastes diploproa",5.419091758,"Adult","Fish","Predator","predator_mobile","SDIP","tertiary_consumer"
"Sebastes entomelas",5.419091758,"Adult","Fish","Predator","predator_mobile","SENT","tertiary_consumer"
"Sebastes hopkinsi",5.419091758,"Adult","Fish","Predator","predator_mobile","SHOP","tertiary_consumer"
"Sebastes melanops",4.591540731,"Adult","Fish","Predator","predator_mobile","SMEL","tertiary_consumer"
"Sebastes miniatus",6.249860296,"Adult","Fish","Predator","predator_mobile","SMIN","quarternary_consumer"
"Sebastes mystinus",4.59154073123752,"Adult","Fish","Predator","predator_mobile","SMYS","tertiary_consumer"
"Sebastes nebulosus",4.99278027,"Adult","Fish","Predator","predator_mobile","SNEB","tertiary_consumer"
"Sebastes paucispinis",6.24986029591409,"Adult","Fish","Predator","predator_mobile","SPAU","quarternary_consumer"
"Sebastes pinniger",5.419091758,"Adult","Fish","Predator","predator_mobile","SPIN","tertiary_consumer"
"Sebastes rastrelliger",5.78115150398346,"Adult","Fish","Predator","predator_mobile","SRAS","quarternary_consumer"
"Sebastes rosaceus",5.419091758,"Adult","Fish","Predator","predator_mobile","SROS","tertiary_consumer"
"Sebastes rubrivinctus",5.419091758,"Adult","Fish","Predator","predator_mobile","SRUB","tertiary_consumer"
"Sebastes saxicola",6.249860296,"Adult","Fish","Predator","predator_mobile","SSAX","quarternary_consumer"
"Sebastes semicinctus",5.419091758,"Adult","Fish","Predator","predator_mobile","SSEM","tertiary_consumer"
"Sebastes serranoides/flavidus",5.498321718,"Adult","Fish","Predator","predator_mobile","OYT","tertiary_consumer"
"Sebastes serriceps",5.78276913168675,"Adult","Fish","Predator","predator_mobile","STRE","quarternary_consumer"
"Sebastes umbrosus",5.144617185,"Adult","Fish","Predator","predator_mobile","SUMB","tertiary_consumer"
"Semicossyphus pulcher",4.02168821129571,"Adult","Fish","Predator","predator_mobile","SPUL","secondary_consumer"
"Seriola lalandi",6.107048313,"Adult","Fish","Predator","predator_mobile","SLAL","quarternary_consumer"
"Sphyraena argentea",6.10704831306509,"Adult","Fish","Predator","predator_mobile","SARG","quarternary_consumer"
"Squalus acanthias",6.514732106,"Adult","shark","Predator","predator_mobile","SACA","quarternary_consumer"
"Squatina californica",6.5147321055752,"Adult","shark","Predator","predator_mobile","SCAL","quarternary_consumer"
"Stephanocystis osmundacea",1,"Adult","brown algae","Autotroph","autotroph_sessile","STEOSM","producer"
"Stephanocystis osmundacea",1,"Adult","brown algae","Autotroph","autotroph_sessile","STEOSMAD","producer"
"Stereolepis gigas",6.52420206982957,"Adult","Fish","Predator","predator_mobile","SGIG","quarternary_consumer"
"Strongylocentrotus purpuratus",2.27510820223824,"Adult","urchin","Herbivore","micropredator_mobile","STRPURREC","primary_consumer"
"Strongylocentrotus purpuratus",2.27510820223824,"Adult","urchin","Herbivore","micropredator_mobile","STRPURAD","primary_consumer"
"Styela montereyensis",4.30680669745655,"Adult","solitary tunicate","Filter","predator_sessile","STYMON","secondary_consumer"
"Stylaster californicus",3.95643967949108,"Adult","hydroids","Filter","predator_sessile","STYCAL","secondary_consumer"
"Synchirus/Rimicola",4.487678033,"Adult","Fish","Predator","predator_mobile","SYRI","tertiary_consumer"
